atol, rtol = 1e-4, 1e-5
(problem.meta.name, problem.meta.nvar, problem.meta.ncon) = ("chain", 1000, 752)
┌─────────────────┬───────────┬───────────┬───────────┬────────────┬────────────┬─────────────┬────────────┬───────────┬─────────────┬──────────────┬────────┬──────────────┬─────────────┐
│           names │ objective │ dual_feas │ neval_obj │ neval_grad │ neval_hess │ neval_hprod │ neval_cons │ neval_jac │ neval_jprod │ neval_jtprod │   iter │ elapsed_time │      status │
│   fps_ipopt2_it │  1.13e+05 │  2.52e+03 │        35 │         35 │         66 │          72 │         35 │        33 │         118 │          154 │      1 │     3.06e+02 │    max_time │
└─────────────────┴───────────┴───────────┴───────────┴────────────┴────────────┴─────────────┴────────────┴───────────┴─────────────┴──────────────┴────────┴──────────────┴─────────────┘
(problem.meta.name, problem.meta.nvar, problem.meta.ncon) = ("hovercraft1d", 998, 668)
┌─────────────────┬───────────┬───────────┬───────────┬────────────┬────────────┬─────────────┬────────────┬───────────┬─────────────┬──────────────┬────────┬──────────────┬─────────────┐
│           names │ objective │ dual_feas │ neval_obj │ neval_grad │ neval_hess │ neval_hprod │ neval_cons │ neval_jac │ neval_jprod │ neval_jtprod │   iter │ elapsed_time │      status │
├─────────────────┼───────────┼───────────┼───────────┼────────────┼────────────┼─────────────┼────────────┼───────────┼─────────────┼──────────────┼────────┼──────────────┼─────────────┤
│        percival │  3.28e-03 │  8.73e-10 │        64 │         78 │          0 │    13984932 │         64 │         0 │    13984932 │     13985009 │      6 │     1.33e+02 │    max_time │
│   fps_trunk2_it │  3.29e-03 │  8.88e-07 │        53 │         54 │          0 │       90455 │         54 │         0 │     1676121 │      1676180 │      3 │     8.76e+00 │ first_order │
│  fps_tron2_ldlt │  3.28e-03 │  9.05e-07 │        85 │         86 │          0 │       53501 │         86 │        85 │       17775 │        17863 │      2 │     5.73e-01 │ first_order │
│             dci │  3.54e-03 │  9.64e-06 │         6 │          6 │          4 │          31 │          9 │         4 │         207 │          209 │      4 │     1.00e-03 │ first_order │
│    fps_tron2_it │  3.28e-03 │  8.48e-06 │       104 │        105 │          0 │      171997 │        105 │         0 │     3137135 │      3137243 │      2 │     1.64e+01 │ first_order │
│ fps_trunk2_ldlt │  3.28e-03 │  6.77e-06 │        28 │         29 │          0 │       16124 │         29 │        28 │        5354 │         5385 │      2 │     1.66e-01 │ first_order │
│           ipopt │  3.28e-03 │  1.73e-18 │         2 │          3 │          1 │           0 │          2 │         3 │           0 │            0 │      1 │     7.00e-03 │ first_order │
│ fps_ipopt2_ldlt │  3.28e-03 │  1.70e-10 │         3 │          4 │          4 │          10 │          4 │         5 │           0 │            5 │      1 │     2.64e+00 │ first_order │
│   fps_ipopt2_it │  3.28e-03 │  8.07e-09 │         7 │          8 │         12 │          24 │          8 │         6 │         238 │          251 │      2 │     7.94e+00 │ first_order │
└─────────────────┴───────────┴───────────┴───────────┴────────────┴────────────┴─────────────┴────────────┴───────────┴─────────────┴──────────────┴────────┴──────────────┴────────────
