atol, rtol = 1e-4, 1e-5
(problem.meta.name, problem.meta.nvar, problem.meta.ncon, problem.meta.nnln, problem.meta.nlin) = ("chain", 100, 77, 48, 29)
┌─────────────────┬───────────┬───────────┬───────────┬────────────┬────────────┬─────────────┬────────────┬───────────┬─────────────┬──────────────┬────────┬──────────────┬─────────────┐
│           names │ objective │ dual_feas │ neval_obj │ neval_grad │ neval_hess │ neval_hprod │ neval_cons │ neval_jac │ neval_jprod │ neval_jtprod │   iter │ elapsed_time │      status │
│ fps_ipopt2_ldlt │  4.40e+02 │  2.17e-06 │        92 │         93 │        164 │         170 │         93 │       174 │           0 │           85 │      1 │     5.70e-01 │ first_order │
│   fps_ipopt2_it │  4.40e+02 │  1.99e-08 │        93 │         94 │        164 │         170 │         94 │        82 │         507 │          592 │      1 │     6.01e-01 │ first_order │
└─────────────────┴───────────┴───────────┴───────────┴────────────┴────────────┴─────────────┴────────────┴───────────┴─────────────┴──────────────┴────────┴──────────────┴─────────────┘
(problem.meta.name, problem.meta.nvar, problem.meta.ncon, problem.meta.nnln, problem.meta.nlin) = ("hovercraft1d", 98, 68, 0, 68)
┌─────────────────┬───────────┬───────────┬───────────┬────────────┬────────────┬─────────────┬────────────┬───────────┬─────────────┬──────────────┬────────┬──────────────┬─────────────┐
│           names │ objective │ dual_feas │ neval_obj │ neval_grad │ neval_hess │ neval_hprod │ neval_cons │ neval_jac │ neval_jprod │ neval_jtprod │   iter │ elapsed_time │      status │
├─────────────────┼───────────┼───────────┼───────────┼────────────┼────────────┼─────────────┼────────────┼───────────┼─────────────┼──────────────┼────────┼──────────────┼─────────────┤
│        percival │  3.67e+00 │  2.78e-11 │        46 │         62 │          0 │       31470 │         58 │         0 │       31470 │        31531 │      7 │     4.90e-02 │ first_order │
│   fps_trunk2_it │  3.67e+00 │  1.42e-06 │        35 │         36 │          0 │        1021 │         36 │         0 │       20792 │        20831 │      2 │     1.80e-02 │ first_order │
│  fps_tron2_ldlt │  3.67e+00 │  2.84e-06 │        32 │         33 │          0 │        1717 │         33 │        32 │         549 │          584 │      2 │     3.00e-03 │ first_order │
│             dci │  3.67e+00 │  4.62e-06 │         5 │          5 │          3 │          31 │          8 │         3 │         174 │          176 │      3 │     0.00e+00 │ first_order │
│    fps_tron2_it │  3.67e+00 │  1.81e-05 │        31 │         32 │          0 │        1895 │         32 │         0 │       38504 │        38539 │      2 │     4.30e-02 │ first_order │
│ fps_trunk2_ldlt │  3.67e+00 │  1.79e-06 │        23 │         24 │          0 │         937 │         24 │        23 │         295 │          321 │      2 │     1.00e-03 │ first_order │
│           ipopt │  3.67e+00 │  2.22e-16 │         2 │          3 │          1 │           0 │          2 │         3 │           0 │            0 │      1 │     1.00e-03 │ first_order │
│ fps_ipopt2_ldlt │  3.67e+00 │  1.87e-10 │         3 │          4 │          4 │          10 │          4 │         5 │           0 │            5 │      1 │     2.30e-02 │ first_order │
│   fps_ipopt2_it │  3.67e+00 │  2.18e-05 │         3 │          4 │          4 │          10 │          4 │         2 │         105 │          111 │      1 │     2.40e-02 │ first_order │
└─────────────────┴───────────┴───────────┴───────────┴────────────┴────────────┴─────────────┴────────────┴───────────┴─────────────┴──────────────┴────────┴──────────────┴─────────────┘
